15,100919326,100919451,ENSE00002174247,0,+,15,100919145,100919472,Promoter,125
15,100919326,100919451,ENSE00002174247,0,+,15,100919145,100919472,Promoter,125
15,100920030,100920255,ENSE00002200121,0,+,15,100919974,100920175,Enhancer,145
15,100920030,100920255,ENSE00002200121,0,+,15,100920182,100920335,Enhancer,73
15,100920030,100920255,ENSE00002200121,0,+,15,100919974,100920175,Enhancer,145
15,100920030,100920255,ENSE00002200121,0,+,15,100920182,100920335,Enhancer,73
15,100920030,100920255,ENSE00002200121,0,+,15,100920026,100920034,MYC,4
15,100920030,100920255,ENSE00002200121,0,+,15,100920026,100920034,MYC,4
15,100920030,100920255,ENSE00002200121,0,+,15,100920031,100920040,HNF4A,9
15,100920030,100920255,ENSE00002200121,0,+,15,100920031,100920040,HNF4A,9
15,100920030,100920255,ENSE00002200121,0,+,15,100920071,100920080,HNF4A,9
15,100920030,100920255,ENSE00002200121,0,+,15,100920071,100920080,HNF4A,9
15,100920030,100920255,ENSE00002200121,0,+,15,100920095,100920105,Stat4,10
15,100920030,100920255,ENSE00002200121,0,+,15,100920096,100920106,Stat4,10
15,100920030,100920255,ENSE00002200121,0,+,15,100920166,100920176,Stat4,10
15,100920030,100920255,ENSE00002200121,0,+,15,100920176,100920184,MYC,8
15,100920030,100920255,ENSE00002200121,0,+,15,100920176,100920184,MYC,8
15,100920030,100920255,ENSE00002200121,0,+,15,100920241,100920251,Stat4,10
15,100924510,100924729,ENSE00003794413,0,+,.,-1,-1,.,0
15,100919336,100919451,ENSE00002182735,0,+,15,100919145,100919472,Promoter,115
15,100919336,100919451,ENSE00002182735,0,+,15,100919145,100919472,Promoter,115
15,100924510,100924729,ENSE00003789978,0,+,.,-1,-1,.,0
15,100973803,100974148,ENSE00002161062,0,+,15,100973790,100973958,Enhancer,155
15,100973803,100974148,ENSE00002161062,0,+,15,100974002,100974186,Enhancer,146
15,100919344,100919451,ENSE00002260009,0,+,15,100919145,100919472,Promoter,107
15,100919344,100919451,ENSE00002260009,0,+,15,100919145,100919472,Promoter,107
15,100924510,100924729,ENSE00003794413,0,+,.,-1,-1,.,0
15,100973803,100973967,ENSE00002536282,0,+,15,100973790,100973958,Enhancer,155
15,100983527,100983699,ENSE00002485892,0,+,.,-1,-1,.,0
15,100988633,100988813,ENSE00002478782,0,+,.,-1,-1,.,0
15,100989249,100989648,ENSE00002179294,0,+,.,-1,-1,.,0
15,100919356,100919451,ENSE00002157472,0,+,15,100919145,100919472,Promoter,95
15,100919356,100919451,ENSE00002157472,0,+,15,100919145,100919472,Promoter,95
